9/18: 2026-09-18T10:26:17.112Z · 오늘: 2026-09-25T20:34:34.881Z
쪽 · 테마 | 대비 낮은 글 | 작은 단추(컴퓨터) | 작은 단추(휴대폰) | 이름 없는 단추 | alt 없는 그림 | Tab 멈춤 | 초점 표시 없음
/ light | 0→0 | 7→7 | 7→7 | 0→0 | 0→0 | 39→39 | 0→0
/ dark | 0→0 | 7→7 | 7→7 | 0→0 | 0→0 | null | null
/reading light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/reading dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/student light | 0→19 | 0→0 | 0→0 | 0→0 | 0→0 | 40→39 | 0→0
/student dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/phonics light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 38→38 | 0→0
/phonics dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/grammar1 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/grammar1 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/grammar2 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/grammar2 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/ld light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 38→38 | 0→0
/ld dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/reading/pr001 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/reading/pr001 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/reading/pr002 light | 0 | 0 | 0 | 0 | 0 | 39 | 0
/reading/pr002 dark | 0 | 0 | 0 | 0 | 0 | null | null
/student/s1-1 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/student/s1-1 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/phonics/mv1-01 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 40→40 | 0→0
/phonics/mv1-01 dark | 6→6 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/grammar1/gh1-006 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 40→40 | 0→0
/grammar1/gh1-006 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/grammar2/gh2-007 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 40→40 | 0→0
/grammar2/gh2-007 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/ld/d001 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/ld/d001 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/ld/d002 light | 0 | 0 | 0 | 0 | 0 | 39 | 0
/ld/d002 dark | 0 | 0 | 0 | 0 | 0 | null | null

같은 쪽끼리 합(9/18 → 오늘): 대비 낮은 글 6→25 · 작은 단추(컴퓨터) 14→14 · 작은 단추(휴대폰) 14→14 · 이름 없는 단추 0→0 · alt 없는 그림 0→0 · Tab 멈춤 509→508 · 초점 표시 없음 0→0
