9/18: 2026-09-25T20:34:34.881Z · 오늘: 2026-09-26T12:11:50.895Z
쪽 · 테마 | 대비 낮은 글 | 작은 단추(컴퓨터) | 작은 단추(휴대폰) | 이름 없는 단추 | alt 없는 그림 | Tab 멈춤 | 초점 표시 없음
/student light | 19→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/student dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/reading light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/reading dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/reading/pr001 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/reading/pr001 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null
/student/s1-1 light | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | 39→39 | 0→0
/student/s1-1 dark | 0→0 | 0→0 | 0→0 | 0→0 | 0→0 | null | null

같은 쪽끼리 합(9/18 → 오늘): 대비 낮은 글 19→0 · 작은 단추(컴퓨터) 0→0 · 작은 단추(휴대폰) 0→0 · 이름 없는 단추 0→0 · alt 없는 그림 0→0 · Tab 멈춤 156→156 · 초점 표시 없음 0→0
